"Date","NINO34","NINO12"
1971-01-15,-1.47,-1.08
1971-02-15,-1.28,-1.44
1971-03-15,-1.29,-0.97
1971-04-15,-0.97,-0.23
1971-05-15,-0.82,-0.95
1971-06-15,-0.78,-0.85
1971-07-15,-0.64,-0.52
1971-08-15,-0.65,-0.98
1971-09-15,-0.75,-0.69
1971-10-15,-0.78,-0.8
1971-11-15,-0.85,-0.79
1971-12-15,-0.89,-0.75
1972-01-15,-0.58,-0.15
1972-02-15,-0.22,0.41
1972-03-15,-0.25,0.78
1972-04-15,0.21,1.14
1972-05-15,0.33,1.32
1972-06-15,0.66,2.25
1972-07-15,0.83,2.66
1972-08-15,1.3,2.88
1972-09-15,1.19,1.95
1972-10-15,1.77,1.73
1972-11-15,1.87,1.69
1972-12-15,2.19,1.91
1973-01-15,1.6,1.33
1973-02-15,1.08,0.06
1973-03-15,0.58,-0.37
1973-04-15,-0.07,-0.82
1973-05-15,-0.56,-1.04
1973-06-15,-0.86,-0.91
1973-07-15,-1.14,-1.08
1973-08-15,-1.21,-1.29
1973-09-15,-1.4,-1.14
1973-10-15,-1.58,-0.98
1973-11-15,-2.07,-0.92
1973-12-15,-2.18,-1.05
1974-01-15,-2.02,-0.82
1974-02-15,-1.5,-0.8
1974-03-15,-1.44,-0.16
1974-04-15,-1,0.02
1974-05-15,-0.79,0.34
1974-06-15,-0.7,0.23
1974-07-15,-0.65,0.16
1974-08-15,-0.32,0.08
1974-09-15,-0.35,-0.44
1974-10-15,-0.75,-1.17
1974-11-15,-0.96,-0.74
1974-12-15,-0.86,-1.13
1975-01-15,-0.37,-0.88
1975-02-15,-0.33,-0.74
1975-03-15,-0.59,0.22
1975-04-15,-0.59,0.28
1975-05-15,-1,-0.47
1975-06-15,-1.25,-0.58
1975-07-15,-1.24,-0.32
1975-08-15,-1.16,-0.64
1975-09-15,-1.44,-1.04
1975-10-15,-1.47,-1.23
1975-11-15,-1.46,-1.59
1975-12-15,-1.64,-1.49
1976-01-15,-1.8,-0.88
1976-02-15,-1.05,-0.35
1976-03-15,-0.68,0.17
1976-04-15,-0.42,0.59
1976-05-15,-0.49,0.81
1976-06-15,0,1.56
1976-07-15,0.15,2.02
1976-08-15,0.31,1.81
1976-09-15,0.57,1.23
1976-10-15,0.86,0.76
1976-11-15,0.88,0.44
1976-12-15,0.64,0.25
1977-01-15,0.84,0.29
1977-02-15,0.55,-0.14
1977-03-15,0.4,-0.38
1977-04-15,-0.25,-0.68
1977-05-15,-0.03,-0.45
1977-06-15,0.36,0.08
1977-07-15,0.45,0.03
1977-08-15,0.25,-0.52
1977-09-15,0.44,-0.5
1977-10-15,0.89,-0.19
1977-11-15,1.03,-0.29
1977-12-15,1.09,-0.56
1978-01-15,0.72,-0.07
1978-02-15,0.51,-0.35
1978-03-15,0.06,-0.77
